,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD
"('MVTec-AD_wood', 0.01, 2)",,,,,,,
"('MVTec-AD_wood', 0.01, 3)",,,,,,,
"('MVTec-AD_wood', 0.05, 1)",,,,,,,
"('MVTec-AD_wood', 0.05, 2)",,,,,,,
"('MVTec-AD_wood', 0.05, 3)",,,,,,,
"('MVTec-AD_wood', 0.1, 1)",,,,,,,
"('MVTec-AD_wood', 0.1, 2)",,,,,,,
"('MVTec-AD_wood', 0.1, 3)",,,,,,,
"('MVTec-AD_wood', 0.25, 1)",,,,,,,
"('MVTec-AD_wood', 0.25, 2)",,,,,,,
"('MVTec-AD_wood', 0.25, 3)",,,,,,,
"('MVTec-AD_wood', 0.5, 1)",,,,,,,
"('MVTec-AD_wood', 0.5, 2)",,,,,,,
"('MVTec-AD_wood', 0.5, 3)",,,,,,,
"('MVTec-AD_wood', 0.75, 1)",,,,,,,
"('MVTec-AD_wood', 0.75, 2)",,,,,,,
"('MVTec-AD_wood', 0.75, 3)",,,,,,,
"('MVTec-AD_wood', 1.0, 1)",,,,,,,
"('MVTec-AD_wood', 1.0, 2)",,,,,,,
"('MVTec-AD_wood', 1.0, 3)",,,,,,,
"('29_Pima', 0.0, 1)",,,,,,,
"('29_Pima', 0.0, 2)",,,,,,,
"('29_Pima', 0.0, 3)",,,,,,,
"('29_Pima', 0.01, 1)",,,,,,,
"('29_Pima', 0.01, 2)",,,,,,,
"('29_Pima', 0.01, 3)",,,,,,,
"('29_Pima', 0.05, 1)",,,,,,,
"('29_Pima', 0.05, 2)",,,,,,,
"('29_Pima', 0.05, 3)",,,,,,,
"('29_Pima', 0.1, 1)",,,,,,,
"('29_Pima', 0.1, 2)",,,,,,,
"('29_Pima', 0.1, 3)",,,,,,,
"('29_Pima', 0.25, 1)",,,,,,,
"('29_Pima', 0.25, 2)",,,,,,,
"('29_Pima', 0.25, 3)",,,,,,,
"('29_Pima', 0.5, 1)",,,,,,,
"('29_Pima', 0.5, 2)",,,,,,,
"('29_Pima', 0.5, 3)",,,,,,,
"('29_Pima', 0.75, 1)",,,,,,,
"('29_Pima', 0.75, 2)",,,,,,,
"('29_Pima', 0.75, 3)",,,,,,,
"('29_Pima', 1.0, 1)",,,,,,,
"('29_Pima', 1.0, 2)",,,,,,,
"('29_Pima', 1.0, 3)",,,,,,,
"('MVTec-AD_transistor', 0.0, 1)",,,,,,,
"('MVTec-AD_transistor', 0.0, 2)",,,,,,,
"('MVTec-AD_transistor', 0.0, 3)",,,,,,,
"('MVTec-AD_transistor', 0.01, 1)",,,,,,,
"('MVTec-AD_transistor', 0.01, 2)",,,,,,,
"('MVTec-AD_transistor', 0.01, 3)",,,,,,,
"('MVTec-AD_transistor', 0.05, 1)",,,,,,,
"('MVTec-AD_transistor', 0.05, 2)",,,,,,,
"('MVTec-AD_transistor', 0.05, 3)",,,,,,,
"('MVTec-AD_transistor', 0.1, 1)",,,,,,,
"('MVTec-AD_transistor', 0.1, 2)",,,,,,,
"('MVTec-AD_transistor', 0.1, 3)",,,,,,,
"('MVTec-AD_transistor', 0.25, 1)",,,,,,,
"('MVTec-AD_transistor', 0.25, 2)",,,,,,,
"('MVTec-AD_transistor', 0.25, 3)",,,,,,,
"('MVTec-AD_transistor', 0.5, 1)",,,,,,,
"('MVTec-AD_transistor', 0.5, 2)",,,,,,,
"('MVTec-AD_transistor', 0.5, 3)",,,,,,,
"('MVTec-AD_transistor', 0.75, 1)",,,,,,,
"('MVTec-AD_transistor', 0.75, 2)",,,,,,,
"('MVTec-AD_transistor', 0.75, 3)",,,,,,,
"('MVTec-AD_transistor', 1.0, 1)",,,,,,,
"('MVTec-AD_transistor', 1.0, 2)",,,,,,,
"('MVTec-AD_transistor', 1.0, 3)",,,,,,,
"('MVTec-AD_toothbrush', 0.0, 1)",,,,,,,
"('MVTec-AD_toothbrush', 0.0, 2)",,,,,,,
"('MVTec-AD_toothbrush', 0.0, 3)",,,,,,,
"('MVTec-AD_toothbrush', 0.01, 1)",,,,,,,
"('MVTec-AD_toothbrush', 0.01, 2)",,,,,,,
"('MVTec-AD_toothbrush', 0.01, 3)",,,,,,,
"('MVTec-AD_toothbrush', 0.05, 1)",,,,,,,
"('MVTec-AD_toothbrush', 0.05, 2)",,,,,,,
"('MVTec-AD_toothbrush', 0.05, 3)",,,,,,,
"('MVTec-AD_toothbrush', 0.1, 1)",,,,,,,
"('MVTec-AD_toothbrush', 0.1, 2)",,,,,,,
"('MVTec-AD_toothbrush', 0.1, 3)",,,,,,,
"('MVTec-AD_toothbrush', 0.25, 1)",,,,,,,
"('MVTec-AD_toothbrush', 0.25, 2)",,,,,,,
"('MVTec-AD_toothbrush', 0.25, 3)",,,,,,,
"('MVTec-AD_toothbrush', 0.5, 1)",,,,,,,
"('MVTec-AD_toothbrush', 0.5, 2)",,,,,,,
"('MVTec-AD_toothbrush', 0.5, 3)",,,,,,,
"('MVTec-AD_toothbrush', 0.75, 1)",,,,,,,
"('MVTec-AD_toothbrush', 0.75, 2)",,,,,,,
"('MVTec-AD_toothbrush', 0.75, 3)",,,,,,,
"('MVTec-AD_toothbrush', 1.0, 1)",,,,,,,
"('MVTec-AD_toothbrush', 1.0, 2)",,,,,,,
"('MVTec-AD_toothbrush', 1.0, 3)",,,,,,,
"('43_WDBC', 0.0, 1)",,,,,,,
"('43_WDBC', 0.0, 2)",,,,,,,
"('43_WDBC', 0.0, 3)",,,,,,,
"('43_WDBC', 0.01, 1)",,,,,,,
"('43_WDBC', 0.01, 2)",,,,,,,
"('43_WDBC', 0.01, 3)",,,,,,,
"('43_WDBC', 0.05, 1)",,,,,,,
"('43_WDBC', 0.05, 2)",,,,,,,
"('43_WDBC', 0.05, 3)",,,,,,,
"('43_WDBC', 0.1, 1)",,,,,,,
"('43_WDBC', 0.1, 2)",,,,,,,
"('43_WDBC', 0.1, 3)",,,,,,,
"('43_WDBC', 0.25, 1)",,,,,,,
"('43_WDBC', 0.25, 2)",,,,,,,
"('43_WDBC', 0.25, 3)",,,,,,,
"('43_WDBC', 0.5, 1)",,,,,,,
"('43_WDBC', 0.5, 2)",,,,,,,
"('43_WDBC', 0.5, 3)",,,,,,,
"('43_WDBC', 0.75, 1)",,,,,,,
"('43_WDBC', 0.75, 2)",,,,,,,
"('43_WDBC', 0.75, 3)",,,,,,,
"('43_WDBC', 1.0, 1)",,,,,,,
"('43_WDBC', 1.0, 2)",,,,,,,
"('43_WDBC', 1.0, 3)",,,,,,,
"('MVTec-AD_screw', 0.0, 1)",,,,,,,
"('MVTec-AD_screw', 0.0, 2)",,,,,,,
"('MVTec-AD_screw', 0.0, 3)",,,,,,,
"('MVTec-AD_screw', 0.01, 1)",,,,,,,
"('MVTec-AD_screw', 0.01, 2)",,,,,,,
"('MVTec-AD_screw', 0.01, 3)",,,,,,,
"('MVTec-AD_screw', 0.05, 1)",,,,,,,
"('MVTec-AD_screw', 0.05, 2)",,,,,,,
"('MVTec-AD_screw', 0.05, 3)",,,,,,,
"('MVTec-AD_screw', 0.1, 1)",,,,,,,
"('MVTec-AD_screw', 0.1, 2)",,,,,,,
"('MVTec-AD_screw', 0.1, 3)",,,,,,,
"('MVTec-AD_screw', 0.25, 1)",,,,,,,
"('MVTec-AD_screw', 0.25, 2)",,,,,,,
"('MVTec-AD_screw', 0.25, 3)",,,,,,,
"('MVTec-AD_screw', 0.5, 1)",,,,,,,
"('MVTec-AD_screw', 0.5, 2)",,,,,,,
"('MVTec-AD_screw', 0.5, 3)",,,,,,,
"('MVTec-AD_screw', 0.75, 1)",,,,,,,
"('MVTec-AD_screw', 0.75, 2)",,,,,,,
"('MVTec-AD_screw', 0.75, 3)",,,,,,,
"('MVTec-AD_screw', 1.0, 1)",,,,,,,
"('MVTec-AD_screw', 1.0, 2)",,,,,,,
"('MVTec-AD_screw', 1.0, 3)",,,,,,,
"('MVTec-AD_tile', 0.0, 1)",,,,,,,
"('MVTec-AD_tile', 0.0, 2)",,,,,,,
"('MVTec-AD_tile', 0.0, 3)",,,,,,,
"('MVTec-AD_tile', 0.01, 1)",,,,,,,
"('MVTec-AD_tile', 0.01, 2)",,,,,,,
"('MVTec-AD_tile', 0.01, 3)",,,,,,,
"('MVTec-AD_tile', 0.05, 1)",,,,,,,
"('MVTec-AD_tile', 0.05, 2)",,,,,,,
"('MVTec-AD_tile', 0.05, 3)",,,,,,,
"('MVTec-AD_tile', 0.1, 1)",,,,,,,
"('MVTec-AD_tile', 0.1, 2)",,,,,,,
"('MVTec-AD_tile', 0.1, 3)",,,,,,,
"('MVTec-AD_tile', 0.25, 1)",,,,,,,
"('MVTec-AD_tile', 0.25, 2)",,,,,,,
"('MVTec-AD_tile', 0.25, 3)",,,,,,,
"('MVTec-AD_tile', 0.5, 1)",,,,,,,
"('MVTec-AD_tile', 0.5, 2)",,,,,,,
"('MVTec-AD_tile', 0.5, 3)",,,,,,,
"('MVTec-AD_tile', 0.75, 1)",,,,,,,
"('MVTec-AD_tile', 0.75, 2)",,,,,,,
"('MVTec-AD_tile', 0.75, 3)",,,,,,,
"('MVTec-AD_tile', 1.0, 1)",,,,,,,
"('MVTec-AD_tile', 1.0, 2)",,,,,,,
"('MVTec-AD_tile', 1.0, 3)",,,,,,,
"('MVTec-AD_cable', 0.0, 1)",,,,,,,
"('MVTec-AD_cable', 0.0, 2)",,,,,,,
"('MVTec-AD_cable', 0.0, 3)",,,,,,,
"('MVTec-AD_cable', 0.01, 1)",,,,,,,
"('MVTec-AD_cable', 0.01, 2)",,,,,,,
"('MVTec-AD_cable', 0.01, 3)",,,,,,,
"('MVTec-AD_cable', 0.05, 1)",,,,,,,
"('MVTec-AD_cable', 0.05, 2)",,,,,,,
"('MVTec-AD_cable', 0.05, 3)",,,,,,,
"('MVTec-AD_cable', 0.1, 1)",,,,,,,
"('MVTec-AD_cable', 0.1, 2)",,,,,,,
"('MVTec-AD_cable', 0.1, 3)",,,,,,,
"('MVTec-AD_cable', 0.25, 1)",,,,,,,
"('MVTec-AD_cable', 0.25, 2)",,,,,,,
"('MVTec-AD_cable', 0.25, 3)",,,,,,,
"('MVTec-AD_cable', 0.5, 1)",,,,,,,
"('MVTec-AD_cable', 0.5, 2)",,,,,,,
"('MVTec-AD_cable', 0.5, 3)",,,,,,,
"('MVTec-AD_cable', 0.75, 1)",,,,,,,
"('MVTec-AD_cable', 0.75, 2)",,,,,,,
"('MVTec-AD_cable', 0.75, 3)",,,,,,,
"('MVTec-AD_cable', 1.0, 1)",,,,,,,
"('MVTec-AD_cable', 1.0, 2)",,,,,,,
"('MVTec-AD_cable', 1.0, 3)",,,,,,,
"('MVTec-AD_carpet', 0.0, 1)",,,,,,,
"('MVTec-AD_carpet', 0.0, 2)",,,,,,,
"('MVTec-AD_carpet', 0.0, 3)",,,,,,,
"('MVTec-AD_carpet', 0.01, 1)",,,,,,,
"('MVTec-AD_carpet', 0.01, 2)",,,,,,,
"('MVTec-AD_carpet', 0.01, 3)",,,,,,,
"('MVTec-AD_carpet', 0.05, 1)",,,,,,,
"('MVTec-AD_carpet', 0.05, 2)",,,,,,,
"('MVTec-AD_carpet', 0.05, 3)",,,,,,,
"('MVTec-AD_carpet', 0.1, 1)",,,,,,,
"('MVTec-AD_carpet', 0.1, 2)",,,,,,,
"('MVTec-AD_carpet', 0.1, 3)",,,,,,,
"('MVTec-AD_carpet', 0.25, 1)",,,,,,,
"('MVTec-AD_carpet', 0.25, 2)",,,,,,,
"('MVTec-AD_carpet', 0.25, 3)",,,,,,,
"('MVTec-AD_carpet', 0.5, 1)",,,,,,,
"('MVTec-AD_carpet', 0.5, 2)",,,,,,,
"('MVTec-AD_carpet', 0.5, 3)",,,,,,,
"('MVTec-AD_carpet', 0.75, 1)",,,,,,,
"('MVTec-AD_carpet', 0.75, 2)",,,,,,,
"('MVTec-AD_carpet', 0.75, 3)",,,,,,,
"('MVTec-AD_carpet', 1.0, 1)",,,,,,,
"('MVTec-AD_carpet', 1.0, 2)",,,,,,,
"('MVTec-AD_carpet', 1.0, 3)",,,,,,,
"('MVTec-AD_capsule', 0.0, 1)",,,,,,,
"('MVTec-AD_capsule', 0.0, 2)",,,,,,,
"('MVTec-AD_capsule', 0.0, 3)",,,,,,,
"('MVTec-AD_capsule', 0.01, 1)",,,,,,,
"('MVTec-AD_capsule', 0.01, 2)",,,,,,,
"('MVTec-AD_capsule', 0.01, 3)",,,,,,,
"('MVTec-AD_capsule', 0.05, 1)",,,,,,,
"('MVTec-AD_capsule', 0.05, 2)",,,,,,,
"('MVTec-AD_capsule', 0.05, 3)",,,,,,,
"('MVTec-AD_capsule', 0.1, 1)",,,,,,,
"('MVTec-AD_capsule', 0.1, 2)",,,,,,,
"('MVTec-AD_capsule', 0.1, 3)",,,,,,,
"('MVTec-AD_capsule', 0.25, 1)",,,,,,,
"('MVTec-AD_capsule', 0.25, 2)",,,,,,,
"('MVTec-AD_capsule', 0.25, 3)",,,,,,,
"('MVTec-AD_capsule', 0.5, 1)",,,,,,,
"('MVTec-AD_capsule', 0.5, 2)",,,,,,,
"('MVTec-AD_capsule', 0.5, 3)",,,,,,,
"('MVTec-AD_capsule', 0.75, 1)",,,,,,,
"('MVTec-AD_capsule', 0.75, 2)",,,,,,,
"('MVTec-AD_capsule', 0.75, 3)",,,,,,,
"('MVTec-AD_capsule', 1.0, 1)",,,,,,,
"('MVTec-AD_capsule', 1.0, 2)",,,,,,,
"('MVTec-AD_capsule', 1.0, 3)",,,,,,,
"('14_glass', 0.0, 1)",,,,,,,
"('14_glass', 0.0, 2)",,,,,,,
"('14_glass', 0.0, 3)",,,,,,,
"('14_glass', 0.01, 1)",,,,,,,
"('14_glass', 0.01, 2)",,,,,,,
"('14_glass', 0.01, 3)",,,,,,,
"('14_glass', 0.05, 1)",,,,,,,
"('14_glass', 0.05, 2)",,,,,,,
"('14_glass', 0.05, 3)",,,,,,,
"('14_glass', 0.1, 1)",,,,,,,
"('14_glass', 0.1, 2)",,,,,,,
"('14_glass', 0.1, 3)",,,,,,,
"('14_glass', 0.25, 1)",,,,,,,
"('14_glass', 0.25, 2)",,,,,,,
"('14_glass', 0.25, 3)",,,,,,,
"('14_glass', 0.5, 1)",,,,,,,
"('14_glass', 0.5, 2)",,,,,,,
"('14_glass', 0.5, 3)",,,,,,,
"('14_glass', 0.75, 1)",,,,,,,
"('14_glass', 0.75, 2)",,,,,,,
"('14_glass', 0.75, 3)",,,,,,,
"('14_glass', 1.0, 1)",,,,,,,
"('14_glass', 1.0, 2)",,,,,,,
"('14_glass', 1.0, 3)",,,,,,,
"('15_Hepatitis', 0.0, 1)",,,,,,,
"('15_Hepatitis', 0.0, 2)",,,,,,,
"('15_Hepatitis', 0.0, 3)",,,,,,,
"('15_Hepatitis', 0.01, 1)",,,,,,,
"('15_Hepatitis', 0.01, 2)",,,,,,,
"('15_Hepatitis', 0.01, 3)",,,,,,,
"('15_Hepatitis', 0.05, 1)",,,,,,,
"('15_Hepatitis', 0.05, 2)",,,,,,,
"('15_Hepatitis', 0.05, 3)",,,,,,,
"('15_Hepatitis', 0.1, 1)",,,,,,,
"('15_Hepatitis', 0.1, 2)",,,,,,,
"('15_Hepatitis', 0.1, 3)",,,,,,,
"('15_Hepatitis', 0.25, 1)",,,,,,,
"('15_Hepatitis', 0.25, 2)",,,,,,,
"('15_Hepatitis', 0.25, 3)",,,,,,,
"('15_Hepatitis', 0.5, 1)",,,,,,,
"('15_Hepatitis', 0.5, 2)",,,,,,,
"('15_Hepatitis', 0.5, 3)",,,,,,,
"('15_Hepatitis', 0.75, 1)",,,,,,,
"('15_Hepatitis', 0.75, 2)",,,,,,,
"('15_Hepatitis', 0.75, 3)",,,,,,,
"('15_Hepatitis', 1.0, 1)",,,,,,,
"('15_Hepatitis', 1.0, 2)",,,,,,,
"('15_Hepatitis', 1.0, 3)",,,,,,,
"('MVTec-AD_pill', 0.0, 1)",,,,,,,
"('MVTec-AD_pill', 0.0, 2)",,,,,,,
"('MVTec-AD_pill', 0.0, 3)",,,,,,,
"('MVTec-AD_pill', 0.01, 1)",,,,,,,
"('MVTec-AD_pill', 0.01, 2)",,,,,,,
